uid,complexity
0052/00523300,4
0027/00274899,4
0087/00878928,33
0017/00173650,18
0031/00319076,16
0014/00140380,27
0058/00580760,2
0036/00361788,12
0071/00710714,8
0015/00150757,12
0016/00168343,7
0028/00280416,6
0001/00019402,9
0093/00936200,6
0008/00083688,7
0092/00923736,6
0027/00276833,1
0094/00941247,34
0022/00229918,4
0062/00620412,2
0032/00328659,12
0041/00418569,17
0059/00595408,6
0042/00427559,12
0001/00015839,1
0027/00275829,22
0064/00641258,4
0082/00820691,5
0069/00692749,25
0048/00484594,4
0048/00481099,2
0043/00431687,5
0099/00992525,6
0023/00231483,1
0090/00905279,2
0026/00264425,2
0047/00474051,5
0053/00531896,8
0078/00787213,9
0027/00272518,6
0055/00558436,7
0022/00227191,4
0019/00196582,8
0036/00369102,14
0093/00930032,4
0099/00991673,8
0027/00276744,7
0049/00494759,4
0035/00354558,21
0079/00794464,4
0038/00382745,4
0047/00477187,7
0094/00946952,2
0088/00889266,1
0031/00313613,6
0070/00705727,4
0003/00039338,21
0007/00070587,4
0013/00139797,13
0024/00249153,12
0012/00126077,4
0061/00612315,4
0073/00730045,2
0045/00456071,6
0092/00928019,3
0084/00844335,4
0094/00947076,5
0078/00783922,3
0011/00116224,4
0081/00817984,12
0073/00736510,4
0057/00570926,4
0068/00685607,8
0070/00702790,4
0053/00537694,7
0076/00765883,8
0068/00685407,8
0046/00464797,20
0052/00525084,26
0083/00835119,2
0090/00903702,4
0074/00749638,4
0062/00622079,4
0043/00431724,1
0036/00362457,8
0010/00101751,2
0089/00894564,18
0076/00768254,1
0001/00016423,19
0047/00479869,4
0079/00797286,4
0067/00677609,1
0050/00502700,4
0091/00912274,8
0092/00920752,16
0052/00528391,1
0048/00487809,34
0046/00469191,4
0057/00576946,12
0078/00787464,12
0026/00262820,4
0069/00692896,4
0009/00091924,2
0002/00029560,8
0070/00700161,10
0068/00687094,28
0031/00315200,1
0063/00630004,4
0099/00993142,23
0026/00266554,1
0062/00629396,4
0067/00677942,2
0067/00677655,29
0042/00428053,8
0037/00379403,4
0053/00530218,8
0023/00239105,13
0037/00371509,8
0052/00529838,12
0084/00844823,3
0072/00723112,4
0043/00430453,7
0007/00076342,4
0034/00345477,6
0061/00612654,6
0035/00351971,5
0092/00929185,4
0079/00791135,9
0016/00163616,8
0039/00390022,4
0059/00595075,28
0006/00062395,4
0050/00507321,8
0032/00321496,9
0061/00616616,16
0029/00294098,6
0018/00184082,6
0071/00711988,5
0004/00047437,1
0059/00596046,4
0060/00608712,2
0060/00603419,7
0060/00601223,4
0020/00203757,8
0024/00241700,17
0023/00234277,3
0034/00342937,9
0026/00265899,1
0035/00354842,5
0043/00430285,3
0023/00235140,19
0050/00505423,16
0054/00545895,7
0037/00379129,4
0004/00042529,12
0079/00798595,25
0039/00396101,4
0046/00460372,6
0026/00263540,3
0025/00259474,3
0099/00994874,3
0005/00053575,12
0084/00841690,23
0022/00226228,6
0021/00212728,12
0004/00049401,4
0058/00588508,2
0087/00870109,4
0073/00737787,6
0072/00727146,4
0067/00679269,22
0051/00511410,6
0094/00944284,1
0093/00932260,20
0077/00776264,28
0073/00739308,12
0050/00500229,6
0005/00052976,8
0011/00116306,5
0027/00278077,12
0045/00453846,2
0045/00459318,18
0009/00096626,3
0077/00779040,4
0026/00264601,13
0007/00075196,10
0095/00954416,44
0091/00917312,6
0088/00880373,20
0078/00783940,18
0005/00054776,3
0073/00735736,6
0098/00986095,5
0015/00157639,8
0025/00256296,1
0015/00156599,2
0051/00517933,4
0080/00807225,4
0044/00447821,4
0014/00143487,1
0059/00590843,6
0081/00817353,10
0023/00230594,6
0023/00231963,8
0072/00721660,2
0085/00859128,1
0076/00764406,1
0061/00619597,4
0052/00522424,2
0026/00268036,20
0030/00300649,26
0028/00286275,8
0032/00326744,10
0027/00279898,8
0038/00388344,4
0016/00163797,4
0099/00996295,1
0042/00428197,8
0093/00937206,1
0099/00994878,10
0066/00669932,6
0005/00050308,9
0038/00381584,25
0096/00961070,1
0026/00263121,8
0002/00021635,5
0058/00587079,10
0005/00052164,4
0096/00967633,4
0013/00138602,22
0010/00102631,4
0069/00697550,8
0018/00180241,2
0050/00509847,1
0068/00682952,6
0089/00892482,2
0014/00143306,2
0039/00399980,16
0042/00422259,9
0093/00938687,8
0086/00865939,5
0063/00630702,9
0005/00056646,4
0023/00230551,5
0006/00066262,2
0062/00623258,2
0004/00045994,8
0066/00662056,12
0012/00128980,8
0050/00505959,4
0017/00171957,29
0049/00491344,12
0045/00450129,1
0070/00707894,2
0072/00727989,3
0054/00545811,4
0067/00676218,8
0041/00419479,9
0096/00964554,32
0036/00362908,4
0099/00997574,1
0031/00311045,4
0022/00229505,4
0025/00255593,10
0052/00529597,6
0008/00081776,2
0043/00434822,10
0035/00356522,12
0078/00784476,4
0077/00770833,4
0027/00271638,4
0006/00067022,4
0027/00270686,10
0034/00344385,16
0025/00254512,9
0083/00830655,4
0027/00271108,5
0092/00925004,4
0054/00547360,4
0051/00514656,4
0086/00863882,2
0048/00483778,6
0080/00800291,4
0067/00677759,4
0021/00214341,22
0088/00880316,6
0079/00797903,8
0066/00665060,6
0087/00877738,16
0046/00468246,3
0018/00180713,2
0053/00533583,2
0053/00533115,4
0042/00425127,8
0042/00425038,12
0065/00655812,20
0068/00682728,8
0087/00872850,6
0022/00227447,2
0028/00282291,9
0070/00707642,4
0057/00574379,8
0092/00928999,8
0049/00497460,2
0080/00809115,12
0017/00170271,6
0098/00983114,4
0020/00203947,2
0091/00914122,1
0041/00412536,8
0028/00284267,2
0050/00508742,12
0013/00139454,4
0082/00827169,1
0016/00163023,9
0019/00197797,9
0095/00953956,4
0069/00698191,1
0010/00102403,39
0030/00301892,8
0050/00506684,4
0041/00410042,6
0048/00487508,1
0024/00241100,4
0069/00695283,20
0085/00852920,5
0093/00935006,5
0049/00495607,8
0085/00855977,7
0000/00001534,2
0083/00836213,6
0058/00581237,28
0098/00987622,8
0033/00332168,13
0066/00667120,10
0009/00091872,7
0045/00456048,8
0048/00482754,8
0035/00356333,6
0070/00706089,4
0025/00250918,4
0099/00994001,8
0049/00499062,4
0075/00759465,1
0069/00691998,7
0041/00410322,4
0039/00392862,21
0025/00254872,7
0058/00583335,4
0059/00596074,4
0078/00785367,12
0087/00872736,8
0076/00765644,4
0055/00557231,7
0083/00836802,22
0078/00784238,8
0036/00360097,24
0006/00065040,11
0071/00714158,7
0030/00302306,7
0048/00486314,6
0010/00105843,11
0047/00478827,4
0034/00348742,4
0070/00700656,4
0099/00990677,4
0060/00606516,6
0030/00309609,4
0076/00767575,16
0012/00125765,2
0079/00795494,5
0054/00540059,8
0013/00139579,8
0094/00948153,22
0044/00442868,7
0023/00237380,42
0081/00811733,6
0053/00535327,16
0079/00796011,4
0043/00433883,2
0066/00668650,4
0065/00654134,4
0035/00354818,10
0052/00524946,11
0095/00957138,20
0094/00946119,10
0059/00593108,12
0096/00965406,12
0037/00373263,6
0018/00183034,5
0073/00731703,6
0088/00882537,29
0027/00270828,8
0097/00977483,3
0033/00333992,3
0091/00915450,4
0057/00572087,11
0091/00912227,8
0042/00422382,8
0076/00764357,2
0058/00584530,16
0083/00830026,12
0096/00968300,4
0024/00242693,11
0068/00683261,4
0083/00834078,36
0061/00619438,8
0049/00494302,3
0065/00658509,4
0020/00205049,4
0022/00224159,1
0059/00596364,7
0078/00782517,2
0038/00382271,4
0061/00614534,2
0083/00835106,2
0076/00761015,4
0061/00613190,4
0032/00329217,13
0004/00044286,4
0007/00075058,8
0073/00735423,24
0040/00400867,1
0021/00210928,4
0083/00837148,4
0083/00832707,36
0086/00868743,2
0001/00017381,10
0026/00260695,28
0003/00031431,21
0093/00936676,4
0057/00579453,2
0040/00407644,4
0074/00742417,8
0038/00382681,4
0016/00164402,13
0085/00857810,5
0059/00590158,16
0069/00699779,21
0099/00992480,3
0077/00775498,4
0024/00246206,8
0004/00045689,4
0046/00465781,4
0034/00343998,9
0007/00072672,9
0066/00666679,1
0031/00315258,4
0023/00237194,11
0041/00410828,1
0059/00599359,4
0053/00537162,17
0011/00117459,1
0084/00846559,1
0001/00010603,6
0008/00083886,4
0031/00312254,2
0026/00268266,4
0053/00538574,2
0089/00894924,5
0043/00433379,2
0005/00052320,4
0060/00607647,4
0057/00578692,1
0088/00881438,4
0060/00601914,8
0097/00973614,26
0075/00758810,23
0022/00228107,6
0001/00017735,2
0020/00209572,4
0080/00804945,8
0029/00297263,4
0060/00602389,4
0086/00862465,2
0056/00564343,10
0020/00203377,5
0083/00834853,3
0078/00786274,3
0065/00656146,1
0063/00631808,7
0067/00676100,4
0086/00868987,1
0042/00422958,4
0003/00036496,7
0085/00854414,5
0035/00359856,8
0047/00478463,2
0001/00012035,5
0007/00074333,4
0035/00350818,4
0050/00505788,1
0017/00177755,24
0083/00838811,2
0094/00948292,2
0014/00141134,4
0041/00411289,16
0007/00075648,12
0065/00659060,4
0009/00097391,28
0029/00291513,1
0038/00382913,4
0053/00537839,28
0030/00308409,10
0043/00434909,9
0081/00816459,18
0049/00498566,4
0003/00033096,6
0018/00187208,8
0047/00478753,4
0009/00090884,12
0041/00413008,16
0067/00678899,3
0065/00657802,11
0029/00298167,7
0029/00295234,4
0078/00789387,28
0052/00529153,12
0098/00985610,4
0000/00006816,8
0038/00384128,12
0048/00483091,24
0022/00220029,4
0014/00144528,4
0045/00454241,1
0056/00562648,3
0089/00898482,20
0046/00465196,2
0082/00825304,1
0069/00696781,4
0060/00601939,14
0046/00461671,5
0060/00608645,10
0047/00473411,4
0008/00083995,7
0045/00455470,7
0065/00659683,6
0016/00163829,12
0012/00127260,1
0070/00702100,10
0091/00915929,4
0015/00157695,12
0039/00398643,3
0051/00510051,3
0029/00290709,4
0000/00005143,8
0064/00641329,4
0058/00589766,22
0065/00653650,8
0068/00681268,6
0055/00555428,17
0059/00598960,16
0016/00162447,1
0055/00555750,5
0018/00184152,36
0016/00161846,4
0062/00620855,2
0027/00270209,8
0026/00262495,4
0008/00087035,2
0040/00409756,5
0030/00309105,7
0090/00900791,5
0030/00305732,24
0031/00316470,8
0082/00825730,7
0038/00386837,9
0080/00808089,26
0001/00019610,13
0047/00477370,8
0052/00527628,6
0001/00018370,10
0023/00237315,11
0010/00101850,4
0038/00381891,6
0017/00179152,7
0037/00376146,8
0010/00109969,12
0007/00071346,24
0071/00716685,16
0013/00133069,4
0031/00319201,14
0082/00820922,2
0082/00827215,5
0095/00955920,38
0048/00485854,1
0054/00542097,10
0042/00421172,20
0027/00275817,4
0098/00981108,31
0079/00791661,7
0077/00778383,4
0039/00390664,8
0021/00216417,9
0043/00433684,2
0043/00437446,2
0099/00998353,4
0013/00130674,10
0048/00483452,2
0028/00282110,6
0088/00887014,12
0030/00300924,8
0047/00476125,8
0002/00021149,16
0097/00971984,1
0008/00081927,6
0058/00581294,4
0076/00768245,12
0099/00998300,8
0030/00308482,18
0028/00284266,8
0080/00808621,4
0068/00686701,4
0062/00624134,12
0048/00487168,22
0044/00447506,6
0078/00785019,10
0089/00894643,14
0057/00578814,25
0008/00085161,17
0034/00347960,4
0012/00120634,4
0095/00953492,1
0048/00487059,22
0063/00638717,6
0032/00327538,20
0053/00531136,10
0001/00016946,12
0053/00539276,4
0065/00651780,3
0044/00440806,16
0052/00524168,11
0084/00841977,12
0070/00701542,4
0079/00792935,1
0077/00772357,31
0048/00485475,4
0063/00635152,2
0089/00895812,4
0065/00651342,4
0071/00718005,17
0086/00867625,2
0003/00035490,14
0040/00408267,14
0091/00912045,8
0049/00495370,4
0068/00680286,31
0038/00388138,1
0026/00262440,24
0041/00416869,4
0018/00189096,16
0051/00510591,18
0041/00416969,40
0057/00574481,1
0028/00288568,14
0048/00481065,8
0026/00269520,15
0041/00415391,1
0069/00694910,10
0029/00294015,4
0058/00588346,7
0070/00700398,1
0043/00434153,1
0091/00919337,1
0054/00545203,16
0064/00640437,4
0060/00602950,5
0075/00754548,6
0063/00633114,8
0028/00284481,4
0001/00019558,4
0020/00200853,8
0031/00317164,5
0053/00532147,8
0069/00699938,4
0066/00666183,6
0065/00657703,4
0004/00044673,6
0068/00681227,6
0015/00157869,4
0059/00599145,20
0080/00805067,8
0061/00612266,8
0010/00101496,13
0094/00946059,4
0054/00544187,5
0094/00947079,3
0041/00411902,16
0014/00148374,1
0022/00223049,20
0052/00529497,8
0024/00249840,22
0044/00442872,17
0006/00061450,26
0053/00530369,7
0073/00734038,1
0075/00753421,4
0041/00419915,8
0072/00728988,4
0050/00500148,13
0088/00885193,10
0045/00452756,2
0059/00590098,12
0092/00926680,20
0067/00673574,9
0092/00922614,8
0054/00542584,12
0012/00127312,2
0040/00406980,2
0035/00350018,2
0058/00585625,4
0046/00465686,1
0077/00779024,2
0077/00774288,4
0068/00683783,4
0095/00958127,21
0064/00643792,4
0021/00213586,7
0081/00818104,7
0069/00695869,17
0002/00029674,4
0018/00184539,11
0083/00834905,4
0053/00539795,4
0041/00416773,8
0022/00227125,8
0021/00217693,19
0099/00992970,2
0021/00216160,5
0036/00362898,22
0018/00183121,4
0022/00226706,4
0039/00397030,4
0045/00457892,5
0072/00721244,2
0042/00428853,4
0058/00585601,6
0058/00580316,4
0049/00495781,4
0092/00928171,8
0005/00059153,10
0048/00486657,8
0023/00233211,9
0051/00517345,12
0098/00985199,4
0057/00576255,4
0088/00886381,8
0032/00327741,12
0020/00205594,2
0069/00698258,4
0003/00035169,12
0029/00290945,36
0096/00965698,9
0014/00140288,7
0099/00996438,18
0095/00952376,4
0077/00779942,5
0008/00084147,8
0035/00354387,5
0017/00171377,4
0099/00991384,2
0028/00280145,8
0022/00222296,16
0019/00193884,1
0078/00787097,18
0017/00172802,10
0057/00574358,7
0059/00591858,4
0079/00799664,6
0019/00196389,26
0089/00891160,4
0009/00090765,9
0018/00182684,8
0048/00488449,17
0043/00435719,4
0041/00410829,12
0058/00580653,8
0058/00582624,4
0012/00120287,3
0052/00527619,12
0073/00735327,10
0012/00127744,5
0064/00642398,12
0019/00197492,4
0030/00307721,12
0010/00104416,21
0024/00243584,24
0089/00891144,6
0064/00648420,32
0050/00507107,8
0032/00320784,20
0004/00045013,16
0061/00617933,3
0062/00628987,4
0085/00855216,4
0027/00271382,10
0089/00890286,6
0047/00475449,21
0021/00219579,4
0036/00366467,13
0042/00422926,1
0041/00417405,5
0077/00777193,17
0099/00996923,6
0071/00718365,24
0010/00105153,14
0054/00542391,6
0026/00261534,1
0046/00464529,4
0027/00272926,8
0014/00147387,6
0021/00211195,14
0002/00022643,8
0024/00245827,20
0014/00144132,1
0096/00965385,4
0080/00808586,8
0032/00328168,8
0023/00232024,8
0095/00956799,15
0057/00579250,4
0064/00649708,25
0042/00421730,14
0008/00081149,4
0049/00499761,8
0029/00297206,28
0035/00353703,4
0095/00950762,4
0037/00373243,4
0082/00824102,11
0045/00456111,1
0002/00022522,12
0011/00119497,24
0024/00241948,21
0007/00078354,2
0070/00707630,36
0085/00859566,4
0031/00315036,8
0055/00554499,1
0021/00218775,4
0035/00353899,2
0091/00913140,4
0057/00572128,5
0074/00743028,4
0029/00299913,4
0032/00329345,4
0071/00714839,4
0082/00829088,11
0032/00328567,4
0061/00618842,4
0005/00053026,8
0073/00738845,4
0032/00323565,10
0034/00349745,4
0074/00744028,1
0010/00104160,7
0089/00891741,6
0084/00842968,4
0026/00266375,8
0028/00282226,16
0013/00133824,24
0032/00328072,38
0084/00849049,20
0097/00970319,1
0080/00807846,10
0058/00582004,4
0053/00536971,8
0017/00179196,28
0092/00924262,8
0030/00308828,4
0023/00231050,20
0083/00832746,1
0002/00027724,5
0087/00872349,12
0022/00223799,14
0063/00631832,2
0013/00136612,2
0087/00876376,4
0030/00305069,4
0036/00369807,1
0035/00355371,4
0019/00193908,4
0026/00262385,8
0086/00863815,16
0075/00754662,1
0060/00603045,4
0097/00979078,34
0065/00656808,2
0067/00671373,2
0082/00829530,8
0023/00239160,27
0007/00073088,12
0077/00773360,3
0065/00655724,4
0026/00263246,6
0071/00719383,8
0087/00872226,23
0093/00936142,4
0076/00762361,10
0005/00054463,4
0069/00692356,15
0034/00345873,2
0050/00508799,6
0082/00820907,20
0083/00835238,10
0009/00090878,3
0037/00374439,3
0010/00101351,1
0098/00983768,7
0034/00349924,17
0017/00176391,1
0032/00325793,4
0066/00661258,4
0012/00128255,4
0007/00074265,1
0091/00913808,12
0079/00795599,4
0040/00400902,7
0032/00327736,20
0032/00324286,20
0060/00605362,4
0063/00634920,26
0079/00797314,4
0085/00858045,36
0017/00172042,1
0096/00968910,15
0056/00569788,2
0020/00205368,4
0027/00274587,12
0027/00270885,6
0067/00678181,2
0001/00017371,5
0072/00724071,12
0065/00656651,21
0046/00462348,3
0025/00253831,8
0069/00693559,8
0026/00262427,19
0093/00930325,8
0081/00814698,4
0032/00321490,6
0027/00274427,8
0096/00969524,4
0031/00312724,7
0067/00675325,8
0019/00197540,6
0088/00882660,1
0054/00546372,4
0048/00485435,4
0085/00858847,4
0049/00495034,1
0015/00155219,45
0036/00364596,4
0087/00878144,4
0014/00140422,9
0015/00150590,14
0004/00045895,16
0077/00770722,12
0085/00859872,2
0037/00375923,4
0037/00376974,26
0007/00071051,2
0030/00302916,8
0095/00957204,4
0007/00072664,1
0011/00113251,14
0055/00556989,2
0049/00497764,4
0048/00487617,4
0061/00615864,7
0073/00733987,1
0074/00744401,1
0036/00361257,17
0028/00281850,9
0080/00808545,1
0009/00091418,1
0084/00845125,16
0091/00910577,1
0067/00679263,2
0054/00541486,31
0051/00516075,4
0082/00826782,2
0083/00830437,4
0069/00690795,20
0098/00983264,8
0065/00658058,6
0019/00191630,1
0005/00052613,9
0073/00731131,4
0013/00132936,3
0063/00631152,11
0083/00831810,36
0011/00111763,16
0082/00828311,1
0087/00870898,8
0022/00221953,8
0044/00444786,8
0097/00978419,1
0052/00526572,13
0078/00784161,4
0088/00888418,4
0057/00572574,4
0087/00871351,27
0036/00360593,9
0003/00034036,9
0093/00939872,8
0046/00461906,10
0033/00333501,31
0064/00649623,9
0049/00496269,18
0095/00955117,4
0043/00433584,7
0039/00391453,7
0071/00717408,8
0024/00241537,8
0085/00855407,8
0065/00652781,1
0097/00972925,2
0006/00068357,23
0039/00390060,3
0056/00564336,12
0063/00634818,20
0065/00657557,5
0036/00366277,5
0048/00487377,20
0084/00849209,14
0001/00012506,4
0048/00486951,3
0040/00409385,13
0069/00690594,9
0089/00890246,6
0086/00864241,8
0069/00695537,1
0071/00715366,10
0042/00429615,4
0053/00533411,22
0089/00891141,4
0016/00167942,5
0052/00522012,44
0018/00181825,4
0044/00447615,5
0039/00395337,4
0011/00119623,4
0081/00811013,40
0026/00266377,32
0048/00480742,15
0031/00314148,7
0018/00182336,5
0066/00665525,28
0002/00026713,1
0092/00925003,4
0049/00492868,8
0038/00384137,8
0097/00971068,5
0099/00993737,6
0062/00620147,5
0040/00404961,1
0069/00691447,1
0018/00187346,2
0053/00537805,7
0026/00264860,4
0096/00964829,24
0040/00409398,4
0048/00480500,1
0003/00032145,18
0029/00295899,8
0058/00584990,4
0059/00597105,4
0036/00368992,4
0030/00306122,31
0084/00843145,9
0013/00138898,13
0061/00616027,12
0050/00507944,12
0097/00972598,7
0002/00026445,9
0094/00946557,4
0045/00456956,8
0085/00850070,4
0057/00579955,4
0080/00804625,2
0013/00132403,3
0003/00035530,5
0081/00810178,4
0079/00795781,5
0030/00301839,8
0021/00219399,2
0057/00571558,12
0012/00126083,16
0009/00095875,8
0006/00068085,12
0098/00988438,6
0071/00717951,4
0023/00231563,2
0076/00760441,6
0060/00601197,14
0017/00174911,9
0054/00542548,4
0064/00644038,6
0033/00339895,1
0000/00006863,4
0066/00669233,10
0032/00328637,8
0064/00640331,1
0012/00121192,4
0068/00685416,8
0057/00573602,12
0030/00301327,10
0011/00110996,4
0029/00299613,36
0079/00796573,5
0095/00956753,4
0023/00232963,11
0042/00427697,4
0065/00657601,6
0072/00724055,13
0096/00962269,6
0094/00944542,4
0067/00671183,12
0080/00808432,6
0065/00656025,10
0086/00867676,9
0018/00189289,8
0030/00302602,2
0095/00950204,6
0067/00671384,2
0027/00270073,4
0046/00460998,8
0038/00387906,21
0041/00412646,16
0028/00284849,11
0005/00051468,4
0026/00260412,1
0063/00634926,5
0047/00479217,2
0005/00051462,5
0060/00609159,4
0029/00295945,1
0088/00887698,4
0016/00160396,6
0085/00851610,4
0090/00906470,8
0065/00654516,4
0045/00457191,2
0097/00976629,16
0064/00648777,2
0024/00242545,1
0020/00202628,4
0024/00247352,10
0010/00102249,16
0082/00822007,16
0094/00948416,2
0010/00108719,42
0042/00427397,28
0049/00495246,12
0028/00284199,13
0069/00695087,4
0069/00698559,4
0068/00685959,6
0075/00756976,4
0030/00309328,7
0083/00835122,13
0053/00539744,4
0070/00706114,7
0042/00424221,4
0000/00008444,8
0028/00281286,12
0093/00933540,28
0060/00606845,16
0032/00321569,4
0044/00449796,4
0097/00977332,21
0071/00718000,10
0080/00802257,5
0022/00221976,5
0044/00440739,4
0048/00484141,4
0059/00595894,20
0006/00062394,2
0049/00497031,14
0030/00305647,4
0078/00780666,12
0059/00594325,2
0037/00372822,16
0036/00362106,4
0097/00979692,14
0062/00626904,4
0077/00779305,16
0079/00798624,11
0046/00467785,4
0072/00728092,10
0045/00456882,36
0052/00522053,4
0068/00686221,8
0013/00137012,6
0073/00736238,24
0029/00299004,29
0029/00292998,4
0088/00889877,12
0033/00334887,4
0089/00891376,2
0073/00739522,1
0076/00767239,2
0092/00928306,1
0058/00585668,8
0015/00155133,4
0049/00490460,4
0075/00752870,6
0043/00438624,1
0039/00399050,4
0050/00508783,6
0026/00266761,37
0094/00941890,4
0059/00590871,12
0003/00030961,4
0020/00204157,38
0031/00313554,7
0025/00250711,1
0059/00591838,4
0060/00608677,4
0069/00698182,4
0023/00237264,17
0028/00285697,1
0083/00837352,10
0058/00588888,1
0049/00493091,4
0096/00962905,6
0068/00685542,5
0049/00495629,8
0065/00651866,2
0050/00507143,22
0019/00195521,4
0082/00820064,4
0010/00103731,16
0008/00080983,36
0092/00926856,2
0057/00574849,5
0038/00385151,6
0050/00507574,25
0039/00398636,4
0028/00284144,11
0097/00978106,8
0047/00473714,4
0026/00268131,28
0030/00303200,6
0009/00095450,12
0003/00030393,4
0016/00169091,12
0081/00812518,5
0094/00948150,1
0016/00169660,1
0091/00918098,6
0062/00629015,4
0037/00376030,2
0034/00345441,4
0074/00746875,8
0049/00497046,4
0043/00438709,1
0056/00567289,4
0075/00754573,2
0030/00306181,4
0053/00537263,26
0023/00232061,5
0086/00865986,8
0078/00787635,4
0009/00094488,15
0071/00717275,7
0032/00321579,4
0002/00026155,4
0046/00464398,16
0011/00116492,5
0015/00156059,21
0031/00319903,9
0027/00272148,6
0077/00776320,1
0082/00825352,2
0056/00563369,9
0069/00695072,24
0076/00767268,6
0092/00928926,1
0065/00655708,16
0092/00920004,4
0082/00823170,9
0052/00527602,4
0013/00135180,17
0054/00545246,24
0065/00657139,12
0008/00086719,8
0066/00669428,2
0040/00403338,4
0056/00569359,8
0037/00370597,5
0080/00808537,2
0022/00229950,4
0009/00095632,3
0090/00909790,12
0069/00693378,12
0010/00108443,8
0075/00759426,1
0055/00550070,6
0046/00461494,1
0088/00882909,10
0028/00280389,12
0034/00347398,4
0098/00983425,22
0096/00968998,4
0051/00519363,8
0030/00300521,4
0089/00892469,16
0060/00606837,23
0074/00749114,4
0027/00271104,8
0074/00747586,4
0050/00506040,8
0082/00824205,4
0099/00993943,2
0015/00157114,1
0051/00518288,32
0091/00919345,26
0043/00438572,1
0001/00010404,6
0040/00404220,2
0098/00980738,4
0030/00300067,8
0026/00267682,4
0093/00931367,6
0017/00173058,16
0058/00582463,20
0067/00676045,32
0050/00502947,4
0049/00493444,11
0051/00514575,4
0021/00212862,5
0079/00798349,26
0077/00773919,14
0024/00248097,8
0028/00281224,4
0017/00177385,32
0054/00545553,5
0088/00880416,16
0064/00640884,4
0098/00988712,6
0086/00864287,8
0093/00935943,1
0015/00150542,20
0083/00835214,4
0094/00948139,8
0056/00566861,2
0042/00421876,5
0054/00549365,5
0000/00006212,9
0013/00134547,12
0066/00661385,8
0057/00579649,1
0026/00264471,6
0016/00169211,4
0094/00946380,20
0083/00839406,18
0036/00369179,4
0082/00823513,4
0097/00976337,2
0031/00317843,4
0080/00806328,4
0084/00847297,4
0021/00210695,5
0073/00738792,6
0030/00301514,5
0080/00800020,8
0064/00645779,8
0002/00025446,20
0009/00093562,8
0075/00758506,12
0088/00889803,1
0060/00602003,5
0057/00574859,2
0063/00635529,14
0062/00620177,14
0057/00572603,4
0022/00221847,13
0042/00429523,12
0033/00334835,4
0012/00120278,18
0073/00738492,4
0058/00589464,2
0043/00434940,1
0002/00029214,20
0002/00028056,4
0000/00006933,2
0088/00881199,4
0031/00311103,34
0059/00596901,4
0034/00347949,2
0023/00238880,1
0044/00449370,1
0024/00243686,11
0097/00977053,4
0095/00953661,4
0001/00012963,12
0051/00517271,7
0055/00551370,4
0028/00288355,12
0048/00487208,1
0031/00319998,10
0033/00335962,20
0026/00261300,10
0010/00107221,4
0060/00602264,9
0070/00700227,7
0063/00631033,2
0002/00026784,20
0034/00348821,4
0073/00738790,10
0023/00232204,4
0035/00359547,4
0028/00282212,8
0046/00462833,12
0037/00372991,4
0022/00225318,12
0076/00769491,7
0022/00223467,4
0040/00405906,5
0044/00446666,6
0080/00800805,3
0086/00863184,6
0010/00106055,20
0035/00359898,6
0092/00928203,6
0061/00613433,9
0095/00951053,12
0074/00749134,5
0010/00106680,4
0045/00454692,9
0061/00614869,6
0024/00248947,2
0075/00755907,6
0087/00871365,1
0031/00319510,1
0031/00313342,8
0024/00247260,16
0002/00020935,15
0021/00219896,8
0006/00063942,5
0093/00935416,6
0036/00361405,6
0051/00513525,12
0049/00499973,4
0053/00530081,5
0076/00764471,5
0005/00059908,5
0098/00983208,24
0044/00446019,43
0036/00365616,4
0014/00147799,1
0096/00961306,3
0047/00479418,5
0081/00819900,5
0023/00235209,4
0028/00288372,6
0099/00991860,11
0092/00928063,14
0066/00668527,2
0051/00519528,4
0066/00663158,6
0002/00029656,6
0083/00832546,8
0039/00394797,4
0078/00784676,13
0071/00715891,4
0007/00078961,8
0031/00312109,10
0042/00423833,12
0047/00478387,5
0024/00241194,2
0043/00437880,6
0066/00661631,8
0079/00793773,4
0029/00298958,8
0004/00047292,26
0080/00806489,6
0074/00740657,2
0053/00537847,10
0060/00601371,6
0034/00343062,6
0063/00635510,4
0053/00535036,4
0083/00836498,20
0021/00216021,18
0009/00098219,2
0058/00588073,12
0040/00401920,4
0048/00489705,8
0073/00733958,6
0047/00470734,4
0090/00905037,4
0063/00636288,3
0017/00176040,4
0044/00443373,3
0041/00411076,8
0029/00290536,16
0057/00578103,4
0078/00781396,12
0058/00588322,19
0070/00708485,12
0009/00096801,7
0013/00130644,4
0058/00580369,4
0097/00974612,16
0076/00769787,17
0042/00421867,8
0089/00895585,36
0052/00524209,6
0094/00947040,4
0006/00061301,6
0046/00464073,2
0090/00907594,1
0031/00313520,7
0057/00575638,1
0057/00575480,22
0089/00893576,1
0041/00415467,32
0030/00308477,4
0029/00297183,41
0067/00676036,8
0005/00056563,3
0023/00233189,5
0073/00732282,28
0012/00120918,11
0059/00593842,8
0078/00782393,15
0085/00856780,6
0047/00476499,22
0030/00309731,12
0080/00803818,1
0060/00602122,4
0033/00338976,4
0079/00794166,8
0027/00275825,4
0099/00998734,2
0085/00857216,28
0043/00439160,12
0056/00565100,3
0042/00422949,4
0039/00396641,12
0028/00284416,19
0017/00176939,1
0040/00407827,11
0046/00463700,7
0011/00114039,28
0022/00221624,8
0097/00978391,1
0023/00231415,1
0041/00416357,5
0097/00971936,4
0025/00250316,13
